contract_type,monthly_charges,support_calls,age,random_noise,time,event
0,52.090771398367785,1,20,-0.2636990658730787,33,0
2,20.0,2,31,0.10428632223219882,66,0
1,57.633377649265896,0,33,-0.5446962871197124,14,1
1,97.40421196052219,1,21,1.2905109976279934,443,1
0,86.12889708849639,1,48,0.14796888063276262,127,1
0,82.84558743431728,2,78,-0.8790168861647499,76,1
0,61.60020094376561,1,30,0.9174621535937203,159,1
2,31.629077913406412,0,44,-1.264187595991705,670,0
1,85.45882964873402,2,76,1.2844943775351327,237,0
1,44.97154569896126,0,18,0.9910594242225638,450,0
0,135.52290200141368,2,42,1.389775295320786,30,1
2,87.11521625063548,2,54,-0.15824637244161582,688,0
2,52.580550923381466,0,67,-0.4961139797833766,371,0
0,51.65844257834115,2,61,0.08402176093309313,137,1
0,67.21167380159235,1,28,-0.08443678635553135,86,1
0,62.81494233934751,1,26,-0.6527362855635124,81,1
0,103.50501326589863,0,77,-0.5536233141256425,43,1
1,75.5924850923214,4,24,-0.3663728472664642,37,1
0,48.05104783274416,2,31,-1.1700036864398626,61,1
0,126.71322055467348,3,47,0.6779632895993344,22,1
1,71.47924994560668,2,41,-0.05229713757100654,84,1
0,93.06519027906691,3,78,-0.30837846923364687,92,1
0,51.75320477665722,2,20,-1.1103541609416774,66,1
0,80.8934688323357,0,65,-1.160372977667465,101,1
0,79.33329973429585,2,79,1.9359140507224122,35,1
1,20.0,1,56,-0.6272574628615696,45,1
0,130.4582533138192,1,44,0.6105283942093266,118,1
1,108.71933382767642,3,18,0.1626344699001771,53,1
1,58.08414051562037,0,55,-2.7751884611081024,78,0
0,36.93190778632434,3,43,1.7924508231385923,59,1
1,80.42684841410656,2,23,0.684083978776116,18,0
0,72.60093098243189,1,76,-0.7676701543048088,73,1
0,80.67006845689689,2,59,-0.028366504429595287,12,1
2,75.74732188582269,2,29,-1.1491833674036658,192,0
2,85.18722967917779,2,71,1.8262204784611338,296,0
2,113.4191709817542,0,68,-0.9076577082414645,86,0
0,87.04309615385938,1,55,-0.5230839966946594,48,1
0,38.51033503270176,0,63,-0.7295610781475912,47,1
1,110.87688558137356,1,52,0.08037940020917021,28,1
0,119.21843690464863,3,27,1.3703165001393138,30,1
0,150.0,1,26,1.7893744490951577,25,1
0,36.29517900281206,3,40,-0.3989961442222967,9,1
0,77.28646039450825,0,47,0.3782589823179224,157,1
2,20.0,1,78,0.08190541260407326,346,0
0,86.59447469137628,1,69,-0.981609264444058,61,1
1,53.55399105499682,4,68,2.422555574595944,59,1
0,127.7033738447486,4,39,1.3627595622962556,6,1
1,46.76155089944254,1,64,0.18911584971103457,148,1
1,20.0,1,26,1.5818760934989877,298,0
0,55.86208777892441,3,36,1.2121067127178047,168,1
2,20.0,1,25,0.08186134108175565,347,0
1,92.5329836352193,1,71,0.3259636053279932,219,0
2,20.0,2,21,1.512126142376654,607,0
2,70.85372743549476,1,22,-0.9461535811296805,236,1
1,20.0,2,36,1.6736906973213392,316,0
2,60.39106586390074,0,63,-0.22511256068511618,274,0
0,119.30134467413602,1,35,1.5246767428475672,37,1
0,80.81943674307385,1,74,-0.0052265974628201255,42,0
0,44.09519185105198,0,46,0.33760622247297195,183,1
0,69.06389533182748,1,36,-0.03430835657245901,55,1
0,70.5405061613334,1,23,-0.5318436228112274,96,1
0,84.17891037530217,0,22,-0.27005489814431205,39,1
2,28.994249101575207,3,75,1.379111403168567,21,0
0,87.77701821541991,2,60,-2.3141639826724685,33,1
0,20.0,2,73,-1.2389659448048371,196,0
1,51.10346342908569,2,22,-0.7254717093581022,157,1
0,55.35178472645366,1,76,-1.0783447924360212,118,1
2,88.99980478213715,2,25,1.509979610415489,128,0
0,70.67892558030607,2,44,1.2576769778532042,20,1
2,27.8331083843114,3,54,0.5920318093946155,336,0
1,40.450206225489545,1,60,-0.6378040674775352,456,0
0,75.96040028642221,3,75,1.3350518667941367,27,1
0,67.62797974406331,1,62,-1.5881299259955441,42,1
2,52.626276710927606,2,55,2.141982640147936,594,0
1,55.57498631464062,1,54,-0.6846297971775508,76,1
1,90.88503991477867,0,35,-0.2620352218414382,564,0
1,54.46922281392356,2,43,-0.4293438504947142,90,0
0,67.3572626791278,2,59,-1.073107414098677,81,1
0,135.0980976424163,0,33,1.9251131239369192,215,1
0,27.28952089348231,3,39,0.7888946307844868,91,1
2,20.0,0,63,1.2154705420797873,651,0
1,93.5076899439582,0,40,-1.223669272060771,233,1
0,49.6407081611769,2,64,0.1809378270039994,32,0
0,60.45287416772139,4,20,0.5210286893314037,1,1
0,46.56530865606658,1,20,0.2707565235498433,312,1
0,62.205995776974625,3,29,-1.160373451068,4,1
1,117.95614336289023,3,40,1.0755000211306371,151,1
1,94.06385375854359,2,64,0.12155008278515436,312,1
2,95.86670535660932,1,28,-0.9549640356430029,170,0
0,27.513188326220636,3,59,-1.8552505395526635,56,1
0,35.46538790341393,4,69,0.60666651348988,55,1
1,20.0,2,64,2.4504557341315008,180,1
1,45.71857536751738,2,67,-1.0152542733462815,529,1
1,98.70109559156975,3,74,0.17044705041296596,64,1
1,85.50839547245113,0,63,1.1104972790915768,300,0
0,63.354602111436286,1,46,-1.2696522661013012,19,1
1,69.33099148845841,1,74,-0.47995676908502455,173,1
0,49.33343372273784,1,23,-0.8601587792614019,31,0
0,76.14276647205352,2,63,0.9846766948245461,95,1
0,92.97634838441844,4,33,1.3255225693540593,33,1
0,21.52339637768582,2,51,0.159036264731735,26,1
1,78.98943063512044,2,68,-0.841734068994101,15,0
0,97.97304612864002,0,54,-0.44279093792784774,41,1
1,57.54699133109891,4,28,-0.6304985142467532,102,1
2,91.02101836361751,2,28,-0.9772688616230066,327,0
0,150.0,1,70,-0.1020382008184647,25,1
0,66.86971621039324,0,78,0.5748264844618621,169,1
1,81.79921150015971,2,42,0.4902574444285194,57,0
0,47.858287490158254,4,75,-0.008232364569510726,111,1
0,75.43753487806151,0,36,0.05705383682536383,43,1
0,83.80814874946911,0,49,-0.08155079508977878,69,0
0,75.84527020810414,2,67,-1.2972115391662733,60,1
2,39.4091404087343,0,75,0.16013489698287253,211,0
2,76.19085313976352,1,25,-0.5836255854546498,495,0
1,113.86587816152911,2,72,-1.3473432191594377,89,1
2,83.45907293543581,1,29,0.3707055671155837,162,0
2,98.85961567215523,1,58,-0.611730036418545,378,0
0,62.88964089962117,0,52,0.22775392125883576,50,0
